,지역,날짜,거래건수
0,종로구,201901,51
1,종로구,201902,56
2,종로구,201903,78
3,종로구,201904,64
4,종로구,201905,43
5,종로구,201906,55
6,종로구,201907,75
7,종로구,201908,83
8,종로구,201909,63
9,종로구,201910,79
10,종로구,201911,115
11,종로구,201912,204
12,종로구,202001,194
13,종로구,202002,91
14,종로구,202003,104
15,종로구,202004,55
16,종로구,202005,68
17,종로구,202006,106
18,종로구,202007,173
19,종로구,202008,80
20,종로구,202009,57
21,종로구,202010,51
22,종로구,202011,100
23,종로구,202012,102
24,광진구,201901,82
25,광진구,201902,41
26,광진구,201903,60
27,광진구,201904,133
28,광진구,201905,561
29,광진구,201906,296
30,광진구,201907,224
31,광진구,201908,355
32,광진구,201909,289
33,광진구,201910,299
34,광진구,201911,300
35,광진구,201912,317
36,광진구,202001,192
37,광진구,202002,163
38,광진구,202003,123
39,광진구,202004,99
40,광진구,202005,116
41,광진구,202006,180
42,광진구,202007,438
43,광진구,202008,248
44,광진구,202009,591
45,광진구,202010,164
46,광진구,202011,367
47,광진구,202012,205
48,관악구,201901,95
49,관악구,201902,105
50,관악구,201903,94
51,관악구,201904,161
52,관악구,201905,158
53,관악구,201906,188
54,관악구,201907,468
55,관악구,201908,470
56,관악구,201909,423
57,관악구,201910,316
58,관악구,201911,396
59,관악구,201912,468
60,관악구,202001,1301
61,관악구,202002,347
62,관악구,202003,446
63,관악구,202004,289
64,관악구,202005,152
65,관악구,202006,443
66,관악구,202007,487
67,관악구,202008,275
68,관악구,202009,404
69,관악구,202010,227
70,관악구,202011,195
71,관악구,202012,368
