,瘤开,朝楼,芭贰扒荐
0,辆肺备,201901,51
1,辆肺备,201902,56
2,辆肺备,201903,78
3,辆肺备,201904,64
4,辆肺备,201905,43
5,辆肺备,201906,55
6,辆肺备,201907,75
7,辆肺备,201908,83
8,辆肺备,201909,63
9,辆肺备,201910,79
10,辆肺备,201911,115
11,辆肺备,201912,204
12,辆肺备,202001,194
13,辆肺备,202002,91
14,辆肺备,202003,104
15,辆肺备,202004,55
16,辆肺备,202005,68
17,辆肺备,202006,106
18,辆肺备,202007,173
19,辆肺备,202008,80
20,辆肺备,202009,57
21,辆肺备,202010,51
22,辆肺备,202011,100
23,辆肺备,202012,102
24,堡柳备,201901,82
25,堡柳备,201902,41
26,堡柳备,201903,60
27,堡柳备,201904,133
28,堡柳备,201905,561
29,堡柳备,201906,296
30,堡柳备,201907,224
31,堡柳备,201908,355
32,堡柳备,201909,289
33,堡柳备,201910,299
34,堡柳备,201911,300
35,堡柳备,201912,317
36,堡柳备,202001,192
37,堡柳备,202002,163
38,堡柳备,202003,123
39,堡柳备,202004,99
40,堡柳备,202005,116
41,堡柳备,202006,180
42,堡柳备,202007,438
43,堡柳备,202008,248
44,堡柳备,202009,591
45,堡柳备,202010,164
46,堡柳备,202011,367
47,堡柳备,202012,205
48,包厩备,201901,95
49,包厩备,201902,105
50,包厩备,201903,94
51,包厩备,201904,161
52,包厩备,201905,158
53,包厩备,201906,188
54,包厩备,201907,468
55,包厩备,201908,470
56,包厩备,201909,423
57,包厩备,201910,316
58,包厩备,201911,396
59,包厩备,201912,468
60,包厩备,202001,1301
61,包厩备,202002,347
62,包厩备,202003,446
63,包厩备,202004,289
64,包厩备,202005,152
65,包厩备,202006,443
66,包厩备,202007,487
67,包厩备,202008,275
68,包厩备,202009,404
69,包厩备,202010,227
70,包厩备,202011,195
71,包厩备,202012,368
